,,,,,,
PREFERRED DATES,,,,PAYMENT METHODS,,
"9 Months+: 04/27+  
7-8 Months: 02/27-03/27 
6  Months: 01/27 
5 Months: 12/26  
4 Months: 11/26  
3 Months: 10/26
2 Months : 09/26
1 Month : 08/26 ","Purchasing Contact Info 
EMAIL: Purchasing@prestigemedicalsupply.net 
PHONE:  615-698-0157  

Shipping Address   
131 Weakley Ln Ste 160 
Smyrna,TN 37167",,,"• ACH
1-2 busines days after arrival

• WIRE
5k+ Invoices Only. 1-2 business days after arrival

• Cash App | Venmo | Zelle
1-2 busines days after arrival. Subject to app limits 



",,
,,,,,,
"Our price sheet is intended as a general buying guide, not a guaranteed approval list.
Listed items indicate eligibility, not guaranteed approval. All offers are reviewed individually and subject to approval based on current demand,
quantities, condition, and our purchasing limits at the time the invoice is submitted. Availability and buying status may change at any time.

Remove all stickers and residue before shipping. 
Email your invoice for approval before sending your shipment, and include a copy of the approved invoice inside the package.
Unapproved orders may be rejected or returned at the vendor’s expense.


 -$3 For Boxes with clear tape or labels attached
We are not responsible for damage under labels or damage incured attempting to remove labels

We do not purchase stolen items or products purposely obtained from insurance for the purpose of reselling 

Please ship within 3 days of invoicing.
Orders not shipped within 3 days of invoicing may
be subject to price changes or cancellation",,,,,,
,Announcements,,,,,
"
Effective immediately, we are no longer accepting Dexcom G7 units from the following lots due to contamination/defective device concerns:

Lot 1725069002  STP-AT-012 / G7 1 Pack US Retail SKU
Lot 1725204004  STP-AT-012 / G7 1 Pack US Retail SKU

Please double-check your inventory before shipping and make sure these lots are NOT included in any orders sent to us.
If these lots are shipped to us, we will NOT be able to return them.",,,,,,
Click Here To View The Condition Guidelines,,,,,,
,,,,,,
"There is a major recall on dexcom g7 and g6 receivers. Please check all of the receivers you purchase at this link BEFORE purchasing them. We do not buy units effected by the recall


",,,,,,
Check Dexcom Serial Numbers HERE,,,,,,
,DEXCOM,NDC/NRC,Condition,7 months +,6 months,5 months 
